rep,n,cvd_selected,cvd_rank,cvd_importance,pval_cvd,reject,topk_vars,error
8,20000,1,1.0,0.6549351895828148,7.153767818323324e-39,1,cvd_pre|age|Charlson|smoker_copd_pre|mets_site_Visceral|mets_site_Bone|dementia_pre|anti_arr_pre|dm_pre|opiods_pre,
15,20000,1,1.0,0.6545641716916895,1.1860710391549503e-30,1,cvd_pre|age|Charlson|mets_site_Bone|dementia_pre|any_infect_pre|bld_thinner_pre|smoker_copd_pre|opiods_pre|mets_site_Visceral,
26,20000,1,1.0,0.6527390073364544,7.704032787208761e-30,1,cvd_pre|age|Charlson|arf_renal_pre|mets_site_Visceral|trt_prev_ADT_only|anti_arr_pre|mets_site_Other|bld_thinner_pre|smoker_copd_pre,
42,20000,1,1.0,0.6500940140777741,4.396627125545156e-36,1,cvd_pre|age|Charlson|arf_renal_pre|bld_thinner_pre|anti_arr_pre|opiods_pre|Enzalutamide_prev|htn_pre|dementia_pre,
61,20000,1,1.0,0.654783292780745,3.161189113388739e-38,1,cvd_pre|age|Charlson|smoker_copd_pre|bld_thinner_pre|anti_arr_pre|arf_renal_pre|Abiraterone_prev|dementia_pre|race_cat,
73,20000,1,1.0,0.6584103291628415,7.239915216535746e-42,1,cvd_pre|Charlson|age|dementia_pre|bld_thinner_pre|arf_renal_pre|anti_arr_pre|anti_diab_pre|smoker_copd_pre|opiods_pre,
81,20000,1,1.0,0.6513918702174611,7.5492168394593e-24,1,cvd_pre|Charlson|age|anti_arr_pre|opiods_pre|dementia_pre|dm_pre|smoker_copd_pre|trt_prev_ARPI|mets_site_Bone,
91,20000,1,1.0,0.6590640225796808,1.259369818091159e-31,1,cvd_pre|Charlson|age|trt_prev_ADT_only|opiods_pre|bld_thinner_pre|trt_prev_ARPI|dementia_pre|smoker_copd_pre|Abiraterone_prev,
6,20000,1,1.0,0.6544816599324846,3.979783036931633e-44,1,cvd_pre|age|Charlson|dementia_pre|smoker_copd_pre|bld_thinner_pre|anti_arr_pre|mets_site_Bone|mets_site_Visceral|opiods_pre,
11,20000,1,1.0,0.6534228277059299,2.8395549066806747e-37,1,cvd_pre|age|Charlson|htn_pre|dementia_pre|dm_pre|mets_site_Visceral|mets_site_Bone|bld_thinner_pre|anti_arr_pre,
37,20000,1,1.0,0.6555532590145502,1.4873865231646113e-30,1,cvd_pre|age|Charlson|dementia_pre|Abiraterone_prev|anti_arr_pre|trt_prev_ADT_only|bld_thinner_pre|dm_pre|opiods_pre,
69,20000,1,1.0,0.6546392474966819,7.277349683746661e-34,1,cvd_pre|age|Charlson|anti_arr_pre|dementia_pre|arf_renal_pre|mets_site_Other|bld_thinner_pre|mets_site_Visceral|opiods_pre,
80,20000,1,1.0,0.650083408018305,6.822674988925755e-38,1,cvd_pre|age|Charlson|dm_pre|dementia_pre|trt_prev_ADT_only|anti_arr_pre|bld_thinner_pre|mets_site_Bone|opiods_pre,
90,20000,1,1.0,0.6517720028835776,2.4434645004496425e-40,1,cvd_pre|age|Charlson|anti_diab_pre|smoker_copd_pre|dm_pre|mets_site_Visceral|trt_prev_ADT_only|arf_renal_pre|mets_site_Bone,
14,20000,1,1.0,0.6600752327920454,2.8875303823907736e-34,1,cvd_pre|age|Charlson|dementia_pre|anti_arr_pre|bld_thinner_pre|mets_site_Visceral|smoker_copd_pre|opiods_pre|Enzalutamide_prev,
18,20000,1,1.0,0.6599417986424075,1.332631290762603e-38,1,cvd_pre|age|Charlson|any_infect_pre|dementia_pre|anti_arr_pre|mets_site_Visceral|mets_site_Bone|opiods_pre|smoker_copd_pre,
35,20000,1,1.0,0.6575228309491823,7.804922954554004e-40,1,cvd_pre|age|Charlson|dementia_pre|trt_prev_ADT_only|trt_prev_Other|bld_thinner_pre|opiods_pre|Enzalutamide_prev|anti_arr_pre,
38,20000,1,1.0,0.6609149477169488,2.804334982406861e-45,1,cvd_pre|Charlson|age|mets_site_Visceral|dementia_pre|any_infect_pre|mets_site_Bone|opiods_pre|smoker_copd_pre|dm_pre,
46,20000,1,1.0,0.6571843541293833,4.1281631549537555e-35,1,cvd_pre|age|Charlson|mets_site_Visceral|bld_thinner_pre|opiods_pre|anti_arr_pre|mets_site_Bone|dementia_pre|arf_renal_pre,
79,20000,1,1.0,0.6607918851044444,1.318649859321388e-39,1,cvd_pre|age|Charlson|bld_thinner_pre|dementia_pre|arf_renal_pre|smoker_copd_pre|trt_prev_ADT_only|dm_pre|anti_arr_pre,
87,20000,1,1.0,0.6484162616484825,1.115129958703087e-33,1,cvd_pre|age|Charlson|opiods_pre|smoker_copd_pre|mets_site_Visceral|dementia_pre|arf_renal_pre|dm_pre|mets_site_Other,
39,20000,1,1.0,0.6597654094392844,1.759492519603466e-33,1,cvd_pre|age|Charlson|mets_site_Visceral|mets_site_Bone|smoker_copd_pre|anti_arr_pre|arf_renal_pre|dementia_pre|opiods_pre,
41,20000,1,1.0,0.6611542905842595,6.625474278290795e-38,1,cvd_pre|Charlson|age|arf_renal_pre|dementia_pre|opiods_pre|mets_site_Visceral|bld_thinner_pre|dm_pre|anti_arr_pre,
45,20000,1,1.0,0.6514012604083212,1.0492021331355704e-32,1,cvd_pre|age|Charlson|htn_pre|dm_pre|mets_site_Visceral|bld_thinner_pre|opiods_pre|mets_site_Bone|trt_prev_ADT_only,
53,20000,1,1.0,0.6556703190567736,1.58074725105418e-40,1,cvd_pre|age|Charlson|htn_pre|anti_diab_pre|mets_site_Visceral|trt_prev_ADT_only|dm_pre|smoker_copd_pre|dementia_pre,
77,20000,1,1.0,0.6585361760641414,4.302775528558656e-42,1,cvd_pre|age|Charlson|dm_pre|dementia_pre|Enzalutamide_prev|smoker_copd_pre|mets_site_Bone|mets_site_Visceral|opiods_pre,
96,20000,1,1.0,0.6621199256050285,1.2404849531795228e-38,1,cvd_pre|age|Charlson|bld_thinner_pre|mets_site_Visceral|opiods_pre|mets_site_Bone|smoker_copd_pre|anti_arr_pre|dementia_pre,
