rep,n,cvd_rank,cvd_importance,pval_cvd,reject,error
60,500,15.0,0.0,0.36125092283250104,0,
60,1000,15.0,0.0,0.0013527286871434896,1,
60,2000,8.0,0.01862394611940116,0.001246455153315727,1,
60,5000,1.0,0.6157057595291288,1.5896244663551068e-10,1,
63,200,15.0,0.0,0.4950812667669565,0,
63,500,15.0,0.0,0.0821195906085757,0,
63,1000,15.0,0.0,0.2604891646921516,0,
63,2000,7.0,0.020732317378201297,5.487090590582164e-05,1,
63,5000,1.0,0.619061512488283,3.430721970362795e-12,1,
64,200,15.0,0.0,0.5588227455147652,0,
64,500,15.0,0.0,0.017436243863864803,1,
64,1000,15.0,0.0,0.0007509896410164458,1,
64,2000,10.0,0.0003512195121951219,0.00018918230512951313,1,
64,5000,1.0,0.5935710886240407,4.639301676803956e-11,1,
72,200,15.0,0.0,0.6940749359283396,0,
72,500,15.0,0.0,0.0020057032001836303,1,
72,1000,15.0,0.0,0.0005452121727018438,1,
72,2000,10.0,0.0028097560975609754,2.919392887578066e-05,1,
72,5000,1.0,0.6443949671459421,3.044212816888976e-12,1,
82,200,15.0,0.0,0.19294455251353454,0,
82,500,15.0,0.0,0.03218952135003224,1,
82,1000,15.0,0.0,0.006903830600929308,1,
82,2000,4.0,0.04495609756097561,1.8175651008841815e-06,1,
82,5000,1.0,0.6184382115812721,5.5872519353399924e-11,1,
94,200,15.0,0.0,0.5684542385668558,0,
94,500,15.0,0.0,0.5461545513438981,0,
94,1000,15.0,0.0,0.0034055860898816364,1,
94,2000,10.0,0.002459766468600154,0.0018620073329553583,1,
94,5000,1.0,0.4459682764006068,2.3012959028991664e-05,1,
13,200,15.0,0.0,0.289126683239022,0,
13,500,15.0,0.0,0.9549600033031909,0,
13,1000,15.0,0.0,1.5648219567866506e-05,1,
13,2000,9.0,0.0035157108327840032,0.001500560463996905,1,
13,5000,1.0,0.6388859671651843,2.936244314113234e-14,1,
20,200,15.0,0.0,0.09049543513210795,0,
20,500,15.0,0.0,0.35834392083483324,0,
20,1000,15.0,0.0,0.10426496834144093,0,
20,2000,8.0,0.008078048780487804,4.035349624979555e-05,1,
20,5000,1.0,0.6269828374010685,1.214880960836389e-10,1,
21,200,15.0,0.0,0.8618302261855822,0,
21,500,15.0,0.0,0.21832630326620758,0,
21,1000,15.0,0.0,0.0010988854207828235,1,
21,2000,8.0,0.004216742517600264,0.00024492144712087385,1,
21,5000,1.0,0.5928035895082672,5.308637369701066e-10,1,
47,200,15.0,0.0,0.3936386235457736,0,
47,500,15.0,0.0,0.6798656543050305,0,
47,1000,15.0,0.0,8.382856396049945e-06,1,
47,2000,7.0,0.010185365853658536,0.002952615338162193,1,
47,5000,1.0,0.6066112341205805,8.24429215949127e-09,1,
52,200,15.0,0.0,0.9491531318829762,0,
52,500,15.0,0.0,0.014256802298790401,1,
52,1000,15.0,0.0,0.0004679481099103709,1,
52,2000,8.0,0.0031625568882001974,0.0004210174592243744,1,
52,5000,1.0,0.637276324991244,1.881603888114449e-12,1,
56,200,15.0,0.0,0.31518617854563474,0,
56,500,15.0,0.0,0.3522828489496178,0,
56,1000,15.0,0.0,0.09259267109808739,0,
56,2000,10.0,0.0017560975609756098,0.01617008718920131,1,
56,5000,1.0,0.6101598434490377,1.5139413288411028e-09,1,
71,200,15.0,0.0,0.2450971187867425,0,
71,500,15.0,0.0,0.0005648422537096044,1,
71,1000,15.0,0.0,0.3812976253469367,0,
71,2000,11.0,0.0014048780487804877,0.012697604452988667,1,
71,5000,1.0,0.5805833210216316,3.2028818042934944e-09,1,
74,200,15.0,0.0,0.3733590470629118,0,
74,500,15.0,0.0,0.002646793012210263,1,
74,1000,15.0,0.0,0.24269838988809117,0,
74,2000,7.0,0.015453658536585365,0.0002952869182802037,1,
74,5000,1.0,0.5200923632365776,1.9438421369792212e-07,1,
85,200,15.0,0.0,0.6213813823799967,0,
85,500,15.0,0.0,0.01136376561774615,1,
85,1000,15.0,0.0,0.02025951546614604,1,
85,2000,16.0,0.0,0.0004534995434809271,1,
85,5000,1.0,0.6291346585459514,5.6410435490097244e-11,1,
97,200,15.0,0.0,0.4941066195278331,0,
97,500,15.0,0.0,0.028742686972460057,1,
97,1000,15.0,0.0,0.0379419116243882,1,
97,2000,10.0,0.001054185629400066,0.004427415415535882,1,
97,5000,1.0,0.5757439919597396,3.1892292970413756e-13,1,
